Iteration:221 Cost:262.0935585526121 Improvement:0.0653691074857079
Iteration:222 Cost:262.0458501783776 Improvement:0.07014318832887056
Iteration:223 Cost:261.94767523373577 Improvement:0.047708374234503026
Iteration:224 Cost:261.85779964266715 Improvement:0.09817494464181209
Iteration:225 Cost:261.81518251006867 Improvement:0.08987559106861909
Iteration:226 Cost:261.7245119645294 Improvement:0.04261713259847966
Iteration:227 Cost:261.66196045480285 Improvement:0.09067054553923981
Iteration:228 Cost:261.5456354390868 Improvement:0.06255150972657475
Iteration:229 Cost:261.4770213494951 Improvement:0.11632501571602916
Iteration:230 Cost:261.42861819275333 Improvement:0.06861408959173332
Iteration:231 Cost:261.39274984513935 Improvement:0.04840315674175599
Iteration:232 Cost:261.3803775128918 Improvement:0.0358683476139845
Iteration:233 Cost:261.3072037955954 Improvement:0.012372332247537088
Iteration:234 Cost:261.2289402799353 Improvement:0.07317371729641309
Iteration:235 Cost:261.0878903129434 Improvement:0.0782635156601259
Iteration:236 Cost:261.02632120650554 Improvement:0.14104996699188632
Iteration:237 Cost:260.9825932355663 Improvement:0.06156910643784386
Iteration:238 Cost:260.92847717753745 Improvement:0.04372797093924419
Iteration:239 Cost:260.8022200084287 Improvement:0.05411605802885333
Iteration:240 Cost:260.73301685481135 Improvement:0.12625716910872598
Iteration:241 Cost:260.667166995585 Improvement:0.06920315361736584
Iteration:242 Cost:260.58534092459644 Improvement:0.06584985922637543
Iteration:243 Cost:260.5469443369404 Improvement:0.08182607098854078
Iteration:244 Cost:260.4682918917284 Improvement:0.03839658765605236
Iteration:245 Cost:260.3951759776282 Improvement:0.07865244521195791
Iteration:246 Cost:260.32740733345315 Improvement:0.07311591410024221
Iteration:247 Cost:260.291201747739 Improvement:0.06776864417503248
Iteration:248 Cost:260.18864054745364 Improvement:0.036205585714128574
Iteration:249 Cost:260.1292737197278 Improvement:0.10256120028537907
Iteration:250 Cost:260.0830900523869 Improvement:0.059366827725853
Iteration:251 Cost:259.9873111718547 Improvement:0.04618366734086976
Iteration:252 Cost:259.9076231533694 Improvement:0.0957788805322366
Iteration:253 Cost:259.8387128124062 Improvement:0.07968801848528528
