Itr:72 Energy:-0.06393316054182477 Cost:428.11423538421735 energy_imp:1.6649286563891197e-05 cost_imp:1.0546188194232968
Itr:73 Energy:-0.06394952877268446 Cost:427.0739536354631 energy_imp:1.6368230859695188e-05 cost_imp:1.0402817487542393
Itr:74 Energy:-0.06396562268529841 Cost:426.0477361826412 energy_imp:1.6093912613951433e-05 cost_imp:1.0262174528219248
Itr:75 Energy:-0.0639814488410076 Cost:425.03531657599444 energy_imp:1.5826155709178225e-05 cost_imp:1.0124196066467448
Itr:76 Energy:-0.06399701363007929 Cost:424.0364345169357 energy_imp:1.5564789071692564e-05 cost_imp:0.9988820590587579
Itr:77 Energy:-0.06401232327659047 Cost:423.05083568975436 energy_imp:1.530964651118294e-05 cost_imp:0.9855988271813203
Itr:78 Energy:-0.0640273838431573 Cost:422.07827159864183 energy_imp:1.5060566566832412e-05 cost_imp:0.9725640911125311
Itr:79 Energy:-0.06404220123551588 Cost:421.1184994098461 energy_imp:1.4817392358576487e-05 cost_imp:0.9597721887957391
Itr:80 Energy:-0.06405678120695962 Cost:420.17128179877506 energy_imp:1.4579971443745565e-05 cost_imp:0.9472176110710393
Itr:81 Energy:-0.06407112936263744 Cost:419.2363868018637 energy_imp:1.4348155677815222e-05 cost_imp:0.9348949969113391
Itr:82 Energy:-0.06408525116371892 Cost:418.31358767305244 energy_imp:1.4121801081484753e-05 cost_imp:0.9227991288112776
Itr:83 Energy:-0.06409915193142968 Cost:417.4026627446999 energy_imp:1.3900767710753326e-05 cost_imp:0.9109249283525287
Itr:84 Energy:-0.06411283685096233 Cost:416.50339529278193 energy_imp:1.3684919532658268e-05 cost_imp:0.8992674519179786
Itr:85 Energy:-0.06412631097526685 Cost:415.61557340622454 energy_imp:1.347412430451056e-05 cost_imp:0.8878218865573899
Itr:86 Energy:-0.06413957922872494 Cost:414.7389898602308 energy_imp:1.3268253458098567e-05 cost_imp:0.8765835459937534
Itr:87 Energy:-0.06415264641071135 Cost:413.8734419934613 energy_imp:1.3067181986403664e-05 cost_imp:0.8655478667694751
Itr:88 Energy:-0.06416551719904694 Cost:413.01873158893136 energy_imp:1.2870788335589411e-05 cost_imp:0.8547104045299534
Itr:89 Energy:-0.064178196153347 Cost:412.17466475850597 energy_imp:1.2678954300057721e-05 cost_imp:0.8440668304253904
Itr:90 Energy:-0.06419068771826793 Cost:411.34105183086183 energy_imp:1.249156492093284e-05 cost_imp:0.8336129276441397
Itr:91 Energy:-0.06420299622665582 Cost:410.51770724280243 energy_imp:1.2308508387889883e-05 cost_imp:0.823344588059399
Itr:92 Energy:-0.06421512590260042 Cost:409.7044494338139 energy_imp:1.2129675944605456e-05 cost_imp:0.8132578089885101
Itr:93 Energy:-0.06422708086439749 Cost:408.9011007437465 energy_imp:1.195496179706712e-05 cost_imp:0.8033486900674234
Itr:94 Energy:-0.0642388651274228 Cost:408.10748731352106 energy_imp:1.178426302531066e-05 cost_imp:0.7936134302254345
