Iteration:190 Cost:572.440563985142 Improvement:0.39955571681446145
Iteration:191 Cost:572.7931916495473 Improvement:0.16998002860771066
Iteration:192 Cost:572.2612851633625 Improvement:-0.35262766440530413
Iteration:193 Cost:572.1512155816783 Improvement:0.5319064861848801
Iteration:194 Cost:572.0823477191897 Improvement:0.11006958168411529
Iteration:195 Cost:572.1077357573766 Improvement:0.06886786248867338
Iteration:196 Cost:571.844873373198 Improvement:-0.02538803818697488
Iteration:197 Cost:571.752549626174 Improvement:0.2628623841786748
Iteration:198 Cost:571.8842355849074 Improvement:0.09232374702401103
Iteration:199 Cost:571.6115886036143 Improvement:-0.13168595873344202
Iteration:200 Cost:571.5308111000356 Improvement:0.2726469812930645
Iteration:201 Cost:571.4294341648491 Improvement:0.08077750357870173
Iteration:202 Cost:571.4880249214657 Improvement:0.10137693518652213
Iteration:203 Cost:571.2036238612893 Improvement:-0.05859075661658153
Iteration:204 Cost:571.1268171218335 Improvement:0.28440106017637845
Iteration:205 Cost:571.1324630666962 Improvement:0.07680673945583294
Iteration:206 Cost:571.4765690588117 Improvement:-0.005645944862749275
Iteration:207 Cost:571.2014775944364 Improvement:-0.3441059921154874
Iteration:208 Cost:570.8165565298825 Improvement:0.27509146437535037
Iteration:209 Cost:570.6621864987573 Improvement:0.38492106455385056
Iteration:210 Cost:570.74916290778 Improvement:0.15437003112526781
Iteration:211 Cost:570.4991778863537 Improvement:-0.08697640902278181
Iteration:212 Cost:570.6555757391408 Improvement:0.2499850214263688
Iteration:213 Cost:570.7203066106775 Improvement:-0.1563978527871086
Iteration:214 Cost:570.4165828557716 Improvement:-0.06473087153676715
Iteration:215 Cost:570.595073314455 Improvement:0.3037237549059455
Iteration:216 Cost:570.0983809339631 Improvement:-0.17849045868342728
Iteration:217 Cost:570.3291583911005 Improvement:0.4966923804919361
Iteration:218 Cost:570.5058680345317 Improvement:-0.2307774571373784
Iteration:219 Cost:570.4860439613326 Improvement:-0.17670964343119522
Iteration:220 Cost:569.996955892118 Improvement:0.019824073199060877
Iteration:221 Cost:569.7422301052455 Improvement:0.4890880692146311
Iteration:222 Cost:570.0589809908739 Improvement:0.2547257868724273
Iteration:223 Cost:569.6128616891706 Improvement:-0.3167508856283803
Iteration:224 Cost:569.4911886658098 Improvement:0.4461193017033338
Iteration:225 Cost:569.4027850407807 Improvement:0.1216730233608132
Iteration:226 Cost:569.3246623208364 Improvement:0.08840362502905919
Iteration:227 Cost:569.2517571807047 Improvement:0.07812271994430375
Iteration:228 Cost:569.178366077877 Improvement:0.07290514013175198
Iteration:229 Cost:569.2330675067155 Improvement:0.07339110282771344
Iteration:230 Cost:569.5314309224132 Improvement:-0.054701428838598076
Iteration:231 Cost:568.9676257428414 Improvement:-0.29836341569762226
Iteration:232 Cost:568.9004566165717 Improvement:0.5638051795717729
Iteration:233 Cost:569.1710417785158 Improvement:0.06716912626973226
Iteration:234 Cost:568.7584126719289 Improvement:-0.2705851619441546
Iteration:235 Cost:569.0796183927323 Improvement:0.41262910658690544
Iteration:236 Cost:568.6422324247701 Improvement:-0.32120572080339116
Iteration:237 Cost:568.8336791440992 Improvement:0.4373859679622001
Iteration:238 Cost:568.7008389808487 Improvement:-0.19144671932906476
Iteration:239 Cost:568.57275830325 Improvement:0.13284016325042103
Iteration:240 Cost:568.3852749009144 Improvement:0.12808067759874575
Iteration:241 Cost:568.4326830972894 Improvement:0.18748340233560157
Iteration:242 Cost:568.4749237339232 Improvement:-0.04740819637504501
Iteration:243 Cost:568.1787948721579 Improvement:-0.042240636633778195
Iteration:244 Cost:568.1502162521456 Improvement:0.29612886176528264
Iteration:245 Cost:568.0344531271057 Improvement:0.028578620012353895
Iteration:246 Cost:568.0543434109659 Improvement:0.11576312503984809
Iteration:247 Cost:568.0738619122208 Improvement:-0.019890283860149793
Iteration:248 Cost:568.0744940916657 Improvement:-0.019518501254879084
Iteration:249 Cost:567.7976951617313 Improvement:-0.0006321794448922446
Iteration:250 Cost:567.726128499858 Improvement:0.27679892993432986
Iteration:251 Cost:567.9344351458516 Improvement:0.07156666187336214
Iteration:252 Cost:567.9040068465071 Improvement:-0.20830664599361626
Iteration:253 Cost:567.5637907961637 Improvement:0.030428299344521292
Iteration:254 Cost:567.5879604257485 Improvement:0.34021605034331515
Iteration:255 Cost:567.4567811703613 Improvement:-0.024169629584775976
Iteration:256 Cost:567.6325431895423 Improvement:0.13117925538722375
Iteration:257 Cost:567.6076717388108 Improvement:-0.17576201918097922
Iteration:258 Cost:567.2721015091364 Improvement:0.024871450731438927
Iteration:259 Cost:567.2717496929121 Improvement:0.3355702296744312
Iteration:260 Cost:567.1572156033388 Improvement:0.00035181622433810844
Iteration:261 Cost:567.3374134288666 Improvement:0.11453408957322608
Iteration:262 Cost:567.0817684612012 Improvement:-0.18019782552778452
Iteration:263 Cost:567.1303659069966 Improvement:0.2556449676653756
Iteration:264 Cost:567.0347589093408 Improvement:-0.04859744579539438
Iteration:265 Cost:566.8692029714439 Improvement:0.09560699765586378
Iteration:266 Cost:566.9098243176451 Improvement:0.16555593789689738
Iteration:267 Cost:566.7686235048752 Improvement:-0.040621346201191955
Iteration:268 Cost:567.0602592758238 Improvement:0.14120081276985275
Iteration:269 Cost:566.7829675371771 Improvement:-0.29163577094857374
Iteration:270 Cost:566.6099145710505 Improvement:0.27729173864668155
Iteration:271 Cost:566.5410798394705 Improvement:0.17305296612664733
Iteration:272 Cost:566.4880337493358 Improvement:0.06883473157995468
Iteration:273 Cost:566.4427983873092 Improvement:0.05304609013467143
Iteration:274 Cost:566.5521547159573 Improvement:0.04523536202668765
Iteration:275 Cost:566.6666506415792 Improvement:-0.1093563286481185
Iteration:276 Cost:566.2941449051597 Improvement:-0.11449592562189537
Iteration:277 Cost:566.2870039781659 Improvement:0.37250573641949813
Iteration:278 Cost:566.184557653942 Improvement:0.007140926993770336
Iteration:279 Cost:566.2336874206477 Improvement:0.10244632422393352
Iteration:280 Cost:566.0856020972067 Improvement:-0.049129766705732436
Iteration:281 Cost:566.0365822265633 Improvement:0.14808532344102332
Iteration:282 Cost:566.0403895630243 Improvement:0.04901987064340574
Iteration:283 Cost:566.1185432110541 Improvement:-0.0038073364610227145
Iteration:284 Cost:565.9870424349458 Improvement:-0.0781536480297973
